fragment.ID.full,fragment.ID,species,genotype,chamber.channel,run,temp.Cat,start.time,stop.time,light_dark,treatment
PV8_D_32_O2,PV8_D,P. verrucosa,8,6,D1,32,8:15:00 AM,8:35:00 AM,dark,enriched
PV11_D_32_O2,PV11_D,P. verrucosa,11,10,D1,32,8:15:00 AM,8:35:00 AM,dark,enriched
PV21_D_32_O2,PV21_D,P. verrucosa,21,3,D1,32,8:15:00 AM,8:35:00 AM,dark,control
PV29_D_32_O2,PV29_D,P. verrucosa,29,4,D1,32,8:15:00 AM,8:35:00 AM,dark,control
PV30_D_32_O2,PV30_D,P. verrucosa,30,1,D1,32,8:15:00 AM,8:35:00 AM,dark,control
PV32_D_32_O2,PV32_D,P. verrucosa,32,5,D1,32,8:15:00 AM,8:35:00 AM,dark,control
BLANK1_D_32_O2,BLANK1_D,P. verrucosa,BLANK,8,D1,32,8:15:00 AM,8:35:00 AM,dark,BLANK
BLANK2_D_32_O2,BLANK2_D,P. verrucosa,BLANK,7,D1,32,8:15:00 AM,8:35:00 AM,dark,BLANK
PV3_D_34_O2,PV3_D,P. verrucosa,3,2,D1,34,8:55:00 AM,9:15:00 AM,dark,enriched
PV6_D_34_O2,PV6_D,P. verrucosa,6,9,D1,34,8:55:00 AM,9:15:00 AM,dark,enriched
PV8_D_34_O2,PV8_D,P. verrucosa,8,6,D1,34,8:55:00 AM,9:15:00 AM,dark,enriched
PV11_D_34_O2,PV11_D,P. verrucosa,11,10,D1,34,8:55:00 AM,9:15:00 AM,dark,enriched
PV21_D_34_O2,PV21_D,P. verrucosa,21,3,D1,34,8:55:00 AM,9:15:00 AM,dark,control
PV29_D_34_O2,PV29_D,P. verrucosa,29,4,D1,34,8:55:00 AM,9:15:00 AM,dark,control
PV30_D_34_O2,PV30_D,P. verrucosa,30,1,D1,34,8:55:00 AM,9:15:00 AM,dark,control
PV32_D_34_O2,PV32_D,P. verrucosa,32,5,D1,34,8:55:00 AM,9:15:00 AM,dark,control
BLANK1_D_34_O2,BLANK1_D,P. verrucosa,BLANK,8,D1,34,8:55:00 AM,9:15:00 AM,dark,BLANK
BLANK2_D_34_O2,BLANK2_D,P. verrucosa,BLANK,7,D1,34,8:55:00 AM,9:15:00 AM,dark,BLANK
